time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,weathercode,Year,month,Day,hour,season,weather_Description
2020-01-01 00:00:00,2.1,100,0.0,8.4,3,2020,1,1,0,winters,Overcast
2020-01-01 01:00:00,2.0,100,0.0,6.6,3,2020,1,1,1,winters,Overcast
2020-01-01 02:00:00,2.5,100,0.0,5.8,3,2020,1,1,2,winters,Overcast
2020-01-01 03:00:00,2.5,100,0.0,6.8,3,2020,1,1,3,winters,Overcast
2020-01-01 04:00:00,2.4,100,0.0,5.1,3,2020,1,1,4,winters,Overcast
2020-01-01 05:00:00,3.2,97,0.0,5.0,3,2020,1,1,5,winters,Overcast
2020-01-01 06:00:00,3.2,98,0.0,4.3,3,2020,1,1,6,winters,Overcast
2020-01-01 07:00:00,3.2,99,0.0,6.1,3,2020,1,1,7,winters,Overcast
2020-01-01 08:00:00,3.6,98,0.0,6.7,3,2020,1,1,8,winters,Overcast
2020-01-01 09:00:00,4.3,98,0.0,5.2,3,2020,1,1,9,winters,Overcast
2020-01-01 10:00:00,5.6,97,0.0,4.6,3,2020,1,1,10,winters,Overcast
2020-01-01 11:00:00,7.6,91,0.0,4.2,3,2020,1,1,11,winters,Overcast
2020-01-01 12:00:00,9.7,81,0.0,4.0,3,2020,1,1,12,winters,Overcast
2020-01-01 13:00:00,11.6,71,0.0,3.6,3,2020,1,1,13,winters,Overcast
2020-01-01 14:00:00,12.9,65,0.0,4.0,3,2020,1,1,14,winters,Overcast
2020-01-01 15:00:00,13.4,62,0.0,4.1,3,2020,1,1,15,winters,Overcast
2020-01-01 16:00:00,13.1,65,0.0,3.9,2,2020,1,1,16,winters,Partly cloudy
2020-01-01 17:00:00,8.9,85,0.0,7.4,1,2020,1,1,17,winters,Mainly clear
2020-01-01 18:00:00,7.9,88,0.0,5.9,3,2020,1,1,18,winters,Overcast
2020-01-01 19:00:00,6.6,92,0.0,8.0,3,2020,1,1,19,winters,Overcast
2020-01-01 20:00:00,6.2,94,0.0,8.9,3,2020,1,1,20,winters,Overcast
